0,1,2,3,4,5,6,7,8
ARRDC3,ZNF81,PTPN7,SAA1,FAM20C,ALAS1,SETDB2,RBMS3,AC007384.1
SERPINB9,AL683813.1,AC124016.1,MTURN,GPC3,LIPG,ATXN1,PMEPA1,ADAMTSL4-AS1
SLFN13,FBF1,ANKRD33B,TTLL7,BASP1,MCTP2,ERICH1,PCSK5,CCDC144B
ATXN7L1,AC109466.1,INTS4,TGFBI,ATP2B4,PPP1R9A,ZCCHC2,SERPING1,TCEANC
SYNE1,RIPOR3,PDE12,MIR100HG,MGLL,DMXL2,TET2,FAM13C,LINC02453
MIR155HG,AC092653.2,TBC1D9,LINC02577,SYNPO2,ERRFI1,CCL22,WNK1,NR4A1
IL18RAP,ITPRIPL1,ITGB7,EHBP1,ACTG2,MARCKS,ARL4A,ATF6B,NDUFA6-DT
GPR155,TRIM36,NPRL3,DOCK5,PTGFRN,NOL4L,ZNF846,DENND11,ZNF445
MIR4435-2HG,ZNF284,CCNH,HMGCS1,STMN3,ARL4A,SLC2A6,ANKS1A,PARP15
H2BC15,AC104170.1,SUGP2,ASTN2,IL1R1,RPS6KA3,MAP3K14,FGFR1,KCTD1
ATP8B2,ZNF169,GTF2IRD2B,LINC00598,JAG1,YKT6,STOM,EGLN3,MAGI1
CRIPT,SOS1,CYB5R4,CARD10,EPAS1,ADCK5,EREG,CAMSAP2,ZNF558
NFATC3,IRS3P,ANKRA2,FBP1,C1orf21,LINC00992,MAF,GULP1,CREM
PZP,FOXA1,BCOR,CCDC88B,LPAR1,FAM83F,SYNGR1,TMEM181,AL357060.1
MX2,CCDC144B,POGZ,ZNF536,DAAM1,NBEAL2,DTNA,OLFML2A,NRP2
TAZ,ALG14,KIF11,SYTL2,ENAH,DNAJC12,IQSEC2,TRIO,AC108471.2
GBP1,NAALAD2,STPG1,AP1S2,TNFAIP2,SVIL,HEXD,CFL2,LINC01559
THADA,FAM131A,PDHX,PIGZ,SCN7A,KIF21A,AL390957.1,IGFBP2,ZNF169
HERC1,AC007566.1,HEXD,ST3GAL6-AS1,SMPDL3A,CXCL3,RCAN1,TNFAIP2,DENND5A
AP000442.1,PDE12,LINC00324,AC005062.1,PLEKHA5,EVPL,RBP7,POGZ,SEC22B
EXOC7,ADAM33,EXOC7,LPAR1,MYLK,TSC22D1,PDLIM7,NPTX2,CKS2
TBC1D2B,CACNA1C,RASAL3,EDN1,LMOD1,LINC01559,EPS15,ABCA3,LINC01572
KLRF1,ACOT11,KATNAL1,CLIC5,ARHGEF17,SAMD12,SLC23A2,CCDC82,PDLIM7
SLC4A7,REEP1,PDCD6IP,GPA33,JAM2,MS4A8,SETDB1,KIAA1217,NRF1
RBMS1,PGAP1,SETDB1,MAGI1,CRIM1,ANK3,WDR91,PLSCR4,AL353194.1
AC002377.1,CGA,ZNF440,RDX,NFKBIA,SPIB,CNRIP1,B4GALT1,TRIM9
TRIM35,PARD6G,ZNF528-AS1,ACOT11,EDNRB,MAGI1,AREG,PHLDB2,ZNF888
HOXB-AS1,AL390957.1,ARMH1,ACSS1,CPNE3,TMEM94,ALAS1,HMGN5,SUCO
MX1,COX10-AS1,GIGYF1,MGAT4C,ANK2,GLB1L2,BCO2,SLK,SERPINE1
ANKRD13D,FBXL18,LINC02156,MIR194-2HG,AHI1,ALDOB,PLAGL1,CLDND1,ABCA9
LNPEP,AC092184.1,AC005618.4,DST,ARRDC3,PROM1,RALGDS,PRRC2A,ZNF175
SGTB,KIT,CDK12,LSM14B,ABCA9,SEMA6D,PSTPIP1,PEAK1,PIGG
RPS6KA3,SPDEF,MFSD4B,AC006059.2,NR4A1,ATP23,PARP11,IQSEC1,ITPR1
CSF1,VPS54,GPR132,EIF5B,NTM,TACO1,ANKRD13D,SULF1,AHI1
MORN3,AL162151.1,SETD5,GPR39,TINAGL1,GOLGA2P5,RAB12,SLC2A3,SLC30A9
A2MP1,LIPT2,LINC02256,RNF223,CP,SLC12A8,ITGA9,CCL23,PDE3B
IFI6,CNTNAP3B,TSC1,C2orf88,PCSK7,CASP10,PLEKHA7,WWC3,UPF2
XAF1,SLC1A2,AC084879.1,SSUH2,DMPK,SYT13,EML4,PRRC2B,SLFN13
MPHOSPH9,AC124016.1,HACL1,ATP1A2,LTBP2,PPFIA3,MCOLN2,MEF2D,LINC00324
STARD7-AS1,DTWD2,AGO3,OTUD7B,ROBO1,ABCC13,HEATR5B,AC093157.1,AC011498.1
MHENCR,KIF5A,CHD6,ASRGL1,PRKG1,LINC00520,NRIP3,SLC25A37,TSPAN4
FLNA,RBFOX3,PCBP1-AS1,SMTN,ITM2A,ZNF440,GBP2,MTA1,LRRC23
HELZ,MYOM1,TMEM161B-AS1,SLC1A1,WFDC1,ZNF518A,HMSD,SETD5,PDE4D
IL12RB2,RAB11FIP3,MSH2,MFSD2A,EDNRA,FAR1,MGLL,ROBO1,ZFP82
PPP1R16B,CAPRIN2,ZMYM4,NCOA6,ADAMTSL3,IQCE,RPS12,KALRN,DTNA
ITPRIPL1,LZTS1,MAP3K14,RAB3IP,CFDP1,FOSL2,CADM1,GBP1,RPS12
RNMT,NEK11,ACSS1,MEGF6,MYC,LINC01843,WNT5B,TAFA5,AC007566.1
ARRDC5,SNORD3B-2,SMG1,COL16A1,PHLDB2,MUC20-OT1,HS3ST2,MXD4,CLMP
CCDC88B,TENT4A,CEP295,SHANK2,GALNT16,KCNK5,NEU3,STIM2,ABCA5
TBC1D19,SLC2A4,AL157935.1,PFKFB2,PCDH7,HMGN5,EPHX1,FAM214B,FAM98C
AC005392.3,ZGRF1,AK8,TTL,KIAA1755,ABLIM1,CFLAR,GGT5,AC093157.1
MXD4,XYLT2,AC009554.1,ABCC13,RERGL,CACNB3,SEC24A,CEBPD,FOXJ2
AREG,WWC2,TRAIP,ENDOD1,B4GALT1,EMP1,FOXJ2,TBC1D9,HEXD
ISG15,C16orf58,ZGRF1,TANC1,GREM1,TNNC2,FAR1,AC002070.1,NBN
TBC1D31,RAB3IP,ADRB2,TYMS,PLAGL1,ARHGEF38,FTCDNL1,ABR,KIRREL3
SPG11,DLEU1,PLEKHG2,TMOD2,RGS5,AC130456.2,AC022966.1,ADGRG6,SSUH2
UBA6,RAB26,ZNF346,ADAMTSL1,KCNN3,FSIP1,SPOCD1,MARCKS,SWSAP1
IL21,PELI2,PARPBP,GSKIP,FAM13A,GPR39,SASH1,ICA1,LINC00844
ANKS1B,MFSD4B,PRPF8,PADI2,PIK3R1,FHDC1,SELENON,AQP7,FKBP7
APOLD1,AC002377.1,NIPAL3,RELN,GFRA1,AP3B1,CCL23,MCC,STARD7-AS1
AC008755.1,OSBPL6,LIPT2,CPSF1,FAM200B,PLEKHA5,PRPF8,WWC2,ZNF528-AS1
AL138778.1,GOLGA8B,RALGAPB,KIRREL3,ITGA1,SEMA3C,FAM135A,PIP4K2B,RAB20
PDE4D,BCORL1,STAG3L3,DCTN5,CTSC,SLC1A1,MAPK8,LTBP1,RRAGB
LINC02328,LINC00520,SESN1,ADGRG6,FAM162B,RAB26,ALDH1A1,MAN1A1,ZNF652
AC022966.1,ZDHHC11,HELQ,FANCC,SLMAP,PRKAG2,FURIN,FOSL2,RALGAPB
NIPAL3,ZNF823,AL031432.4,MAP1B,SGIP1,KIAA0232,ADCK1,PRPF8,NFIA
ZBTB32,SLC7A2,RBM33,PTGDR,MEG8,AREG,YPEL2,ESM1,ZNF33A
AL162151.1,TET2,SFI1,AC105942.1,LGMN,MRAP2,CPNE3,RBMS2,LINC00261
OGT,MORC2,RUFY2,CSNK1E,CYTH3,VSTM5,PTCH2,XIST,BRAF
PHLDB3,TECPR2,PARP8,PCDH9,LIMCH1,SEC24A,PALLD,CTSB,ARID2
TMEM71,LINC00899,CEP97,NTM,TTLL7,CEMIP2,CUL9,NBEAL2,ZNF487
ASB1,PFKFB2,LRCH3,LINC01558,WARS1,IQSEC2,ANKDD1A,RALGDS,ZNF26
CHD6,TCEANC,ZNF880,PAXBP1,TGFBR2,AC006059.2,CHM,FOXJ3,TNRC6B
AP000873.2,HAS1,MZB1,ANO1,FBXO32,KIAA1109,SLC39A6,QSOX1,AP000442.1
ANKRD36C,SAA1,FYTTD1,DEFA6,NR3C1,FEM1C,TMEM94,MXRA7,AC138409.2
PCBP1-AS1,LINC00996,MED23,SHISA9,PLAAT3,C1orf21,CABLES1,ITPR1,CENPO
ZFP14,GKAP1,LINC00996,COL5A3,PHLDA1,SLC30A9,TNS1,EXD3,IRAK1BP1
ANKRD36B,TFAP2C,DTL,CDH13,PCSK5,RCAN1,PRKCA,ENDOD1,TUBA1A
RAD52,SLC23A2,CRIPT,SH3D19,BCAM,NCOA6,B3GNTL1,EPS15,PRKCA
FAM98C,CLCA1,PIK3CD,NPTX2,DES,ENPP3,ANO10,AC010624.5,AEBP2
STIM2,EHHADH,AC105749.1,KLHL31,OLFML2A,MIGA2,GRAMD4,LINC01558,GJA1
STAG3L2,UBAP1L,USF1,AHI1,AASS,FBP1,PPIEL,MADCAM1,CASS4
NSUN6,EVPL,CENPO,LRRC23,SERP2,DENND11,FAM200B,PPP1R16B,CD55
ZNF721,NT5DC3,ZNF429,SS18L1,UBE2Q2P1,ADCY9,TUBGCP3,SSUH2,RAD52
CD177,SLC25A25-AS1,ELP4,RAB11FIP3,LIMS2,TYMS,RNF217,ZDHHC8,CDH19
TUBGCP6,BNIP5,AC245297.3,DNHD1,SORBS2,USP7,SLC38A2,ACKR3,ZNF566
ZNF880,RNF217,SLFN13,FGF2,MAP3K7CL,PDCD6IP,RPLP2,CD300LG,RTTN
KAT2B,ABCC9,SP4,SGCE,CLEC2B,RND3,AGTPBP1,PDZD2,CCL17
MYBL1,ZNF678,PARP11,FOXA1,PON2,TTC39B,RGCC,FAM160B2,SLC16A13
LINC02595,PARP15,AC008755.1,SAMD12,COX4I2,CMIP,CRYBG1,CBR4,COL28A1
GIGYF1,CCDC33,ZNF26,LINC00173,C1orf198,ANKRD20A5P,P3H2,UBR3,ANKDD1A
IRAK4,AL050309.1,MAML2,HIP1R,KCTD12,TRIM36,SETD1B,C1orf21,RBM33
AC007384.1,ZNF429,METAP1D,ADGRB3,HEG1,PRPF8,VCAN,CYTH3,SGK1
COCH,MADCAM1,AC109466.1,RPS20,GBP2,ENAH,CASP9,ITIH5,ODF2L
CEP135,DISC1,GLCCI1,DLEU2,PEAK1,ITGB5,RBFOX3,FBLN5,IRAK4
IL4R,RHEX,ZNF518A,ABCA2,COL15A1,SLC25A25-AS1,CBX4,AASS,MAPK8
FTX,GLB1L2,FHOD3,USP40,PTGFR,SH2B1,PCGF1,ASRGL1,AC093752.1
CTC1,AF127936.2,IRAK1BP1,ABLIM1,MRVI1,ACE,SUPT7L,TTL,KANK2
BTBD11,ZNF888,OGT,NDRG1,TRIO,AUTS2,WWC2,SOCS4,SCN7A
MNAT1,AC188616.1,LINC01521,FOXD2,SYNE1,MYOM1,MMP7,RALGAPB,CEP135
ZNF680,SUCLG2-AS1,DNHD1,ITGB3BP,CSNK1E,MTMR4,SERPING1,PLA2G4C,CPD
RFTN1,NRF1,HMSD,GRIN2C,PITX1,PPP1R12C,USF1,RASSF3,RNF123
MID1IP1,SLC47A2,SLC26A4-AS1,GRB14,IFI6,MIR222HG,PELI2,NTN4,HMGN5
SETD5,KREMEN1,DGKG,ZDHHC8,TPT1-AS1,ATE1,CPQ,GBP2,PIK3CG
ANKRA2,CLEC4O,NSMCE1-DT,CACNB3,PARVA,SPG11,SLC16A10,NLRX1,DGKG
RBM33,AL354718.3,CCL17,NRP2,ZNF521,HDAC6,HERC1,PPP1R12C,PPP6C
C12orf75,MCC,RGS16,GALNT17,HMCN2,VPS13D,MFSD2A,GGTA1P,WDR92
CPD,AP000253.1,DARS-AS1,MRM1,DMD,PDHX,PANK3,CPNE3,SOD2
YPEL2,SCGB2A1,GATM,PTDSS2,HOXB-AS1,KCTD1,NPLOC4,VPS37B,EXOC7
CASS4,PIF1,AC104806.2,MAMDC2,ARHGEF40,TANC1,ZC3H12D,FYN,SEMA6D
OTUD5,SGIP1,ZNF699,TMEM67,NPR1,EVI5,ITGB7,MALAT1,NLRC3
TECPR1,SYP,U2AF1,IFT81,LINC01133,BNIP5,IQCE,VPS13D,KIF21A
CCDC14,MYBL1,USP32,PON2,PRRX2,LSM14B,VPS54,FAR2,MIR4435-2HG
PRKAG2,AL365295.1,MRPS21,NEDD4L,EHBP1,SUGP2,AMFR,CNOT6L,CHM
KIF5C,C1QTNF1-AS1,CPEB3,DTL,FTX,FAM13A,NF1,TBC1D2B,TMEM135
CBX6,GHR,CASP9,ANKS1A,MXRA7,PPP1R12B,SIN3B,SGCB,IQGAP2
ZNF33A,USP40,RAD18,TFF1,SELENON,AC007906.2,YKT6,BAP1,DLEU2
ZNF3,ACACB,ITGAL,SNCA,MNAT1,EIF5B,MTFMT,FKBP7,HIP1R
KIF21A,PRRX2,PGAM1P8,ARHGEF26,PRELP,CD320,ATXN2,CHP1,TET2
CSRNP2,LINC01559,AC007569.1,RFTN2,KIRREL1,YTHDF3,PAXBP1,PARVA,ADAMTS9
SERTAD1,PARVA,AC004816.1,NUAK2,KRT24,SLK,ST3GAL6-AS1,TMOD2,CENPU
TTC39B,ZNF528-AS1,FBXO42,COL9A1,MAOB,TK1,RNFT2,ADRB2,DUOX2
ERICH1,AL138778.1,ZNF678,KIF11,CHODL,ABCA2,SEMA4D,CHD6,RARRES1
FBF1,MTR,ZNF385C,OLFML2A,TCEA3,MMUT,TFAP2C,PDCD6IP,SPG11
SWSAP1,CPD,WDFY2,PLA2R1,CCDC82,DLL1,NBN,PLOD2,ZNF623
NDUFA6-DT,FAM83E,DMD,MSH2,SGCB,CPEB3,HELZ,CPE,ERP44
DLEU1,PITPNM2,AP002852.1,FAM200B,RRAGB,STS,ZNF175,PLAC9,EPG5
PIK3CG,INPP4A,CCDC150,TMEM17,FOSL2,VPS54,NR4A1,PDLIM3,BIN2
MED23,ZNF652,BLOC1S2,POU2F3,CHL1,IQGAP3,FMO4,SLC23A2,GABPB1-AS1
LTB4R,NDUFA6-DT,SAT1,RASSF3,SNCA,PPP6C,FAR2,EDIL3,KCNK5
B3GNTL1,DNAJC12,WDR92,GLMN,RABGAP1,NMU,RAB3GAP2,TMEM94,RDX
NBEAL2,CAMKK1,AC093752.1,SCRG1,EGFLAM,BHLHE40,MEF2D,IL6,PCBP1-AS1
AEBP2,CNKSR2,DDX52,MYO6,EGFR,NOS2,SPG11,GLIDR,ING5
XRRA1,FGF2,AC073225.1,DES,PRICKLE2,XYLT2,NUAK2,MMP16,PIP4K2B
ZBTB37,CYB5R4,SLC16A13,CNKSR3,ADAL,PRKG1,WBP4,POLK,TLE4
BLOC1S2,MYO15B,C12orf75,FAM178B,SVEP1,PIGG,RUNX3,SOS1,RNMT
ING5,CLEC12A,SEMA4D,KREMEN1,SFTA1P,PROX1,SKIL,RPS13,ABCA2
HACL1,DTNA,AC139887.2,RFX2,MID1IP1,NPLOC4,ZMYM4,TPBG,GIGYF1
AL355075.4,KIF21A,SLF1,TRIM9,TSC22D1,ZNF888,USP40,ASAH1,KATNAL1
JADE1,DEFA6,XAF1,LINC00899,FAM107A,KIAA1217,MAML2,MAP3K8,PLA2G6
PARP11,GCNT2,GREB1L,LIPG,NXN,IL17RB,DST,GABBR1,AC006059.2
IQGAP2,NKAIN3,AC253572.2,GFRA1,CASQ2,CHRNA7,ZUP1,RFTN2,PRELID2
WHRN,AC034114.2,VPS37B,NCAM2,DENND5A,CBX4,SMG1,CBX6,HMGB2
AC253572.2,BEST4,NRIR,TPT1-AS1,MIR4435-2HG,CMC1,TRIO,RUFY2,TTC33
AC138409.2,PPP1R16B,RDH8,PRKCA,ACACB,CAMTA2,FAM131A,MYO15B,FAM126A
AL390957.1,ZNF440,STK33,DYNC1I1,SCRG1,ASAP3,BHLHE40,SEC24A,ZNF699
MAP3K14,ERAP1,GOLGA2P5,FHOD3,SEMA3B,SLMAP,AK8,MVB12B,ICA1L
SEC31B,SHISA9,PIP4K2B,SCML1,STMN2,PLEKHM1P1,PEAK1,ZSWIM8,IL18RAP
DISC1,COL9A3,USP7,KIF21A,LINC01638,HMCN2,AC083862.3,ENAH,DENND4A
DCTN5,DYNC2H1,ZNF623,RHOB,RIPOR3,PPP2R3A,RALGAPB,AP3M2,TMEM181
POLK,ABCA2,AL354718.3,FAM83E,RPS13,BAP1,FAM126A,TPT1-AS1,EVI5
METTL16,AC253572.2,USP45,SLC22A5,FSCN1,CUL4A,RIF1,CHSY3,DLL1
AL132780.1,DENND4A,ZUP1,DMD,PDGFA,DCTN5,ZNF445,ADAMTSL1,MRM1
ADAMTSL4-AS1,SLC12A8,TMOD2,DTNA,SLC25A37,PARVA,ZSWIM8,COL6A2,TNPO2
ZC3H12D,VPS53,CCDC82,RBMS2,GHR,HTR4,TMOD2,CAMKK1,CCDC14
PARP16,ESCO1,AFG1L,FAR2,PPP3CA,FOXJ3,C3orf62,C20orf194,BCOR
STAG3L3,USP45,RAD52,SGPL1,PMEPA1,PRDM5,C1orf21,RAB12,ELP4
PRNP,ADAMTS9-AS2,AC078785.1,ELP4,CYP4B1,CSNK1E,ADAM19,CREM,ZNF440
AP002852.1,KIRREL1,CUX2,SORBS1,MAN1A1,RAB20,PHLDB3,EXOC7,SLC25A45
PHLDA1,UST,UBAP1L,AC188616.1,LINC01088,SOD2,ANP32BP1,EIF5B,TMEM67
RTCA-AS1,AC105942.1,CDK9,AC130456.2,WNT5B,CATSPERB,DDX52,SLC26A11,ITGA3
PLAAT3,AC138409.2,STARD7-AS1,SYNGR1,IRS1,H2BC8,RNMT,SCML1,IQSEC1
NFKBID,AHI1,FGF12,MS4A8,HAND2-AS1,GBA3,BRPF1,PTGFRN,MIR29B2CHG
AL353194.1,SMURF1,AP000253.1,SOX2-OT,CCL26,TM4SF1,ATRX,FAM126A,MAF
ITPR1,HELQ,C12orf43,AVPI1,CRIPT,CDC20,CEP135,LETM1,RPF1
INTS4,TTYH1,NLRC3,DLEU1,WNT10B,AC004816.1,CLIP4,CRIPT,UBXN7
CCDC82,PTGFR,MAPK8,PRRC2A,HIGD1B,PAXBP1,TRERF1,NRDE2,GFRA1
SLC26A11,HNF4G,ACOXL,AC007906.2,ABLIM1,TET2,ZNF487,DISC1,LINC02694
METTL4,HIF3A,ZIK1,AC098934.2,RNF152,MAPK8IP3,CKS2,ZMYM4,OTUD7B
HECW2,STAT4,Z84485.1,ADCK1,ASAP3,FBXO32,AL355075.4,TMEM178A,SMPDL3A
AP000769.1,UBE2Q2P1,FAM186A,ARL14,HIF3A,NDRG1,DKK2,AMFR,TRIM66
AC139887.2,BSPRY,ARRDC3,RADIL,AC009951.3,RNF123,AC008755.1,CASP2,MNT
AL034427.1,ITGA3,LINC02453,NOL4L,MAMDC2,ZNF252P,ATE1,FAM200B,ERICH1
ZCCHC2,ANKRD36,LINC01572,CAMKK1,SASH1,LINC02541,TENT4A,RELN,MXD4
WDFY2,AC005041.5,OSGEPL1-AS1,SLC25A25-AS1,SLC7A2,KIF5C,AC107204.1,ERRFI1,C1orf21
AL021155.2,A2MP1,FMO4,NLN,ADAMTS9-AS2,BUB1B,IL6,RNF123,USP15
SNORD3B-2,KIAA1109,AMFR,TDP2,NRP2,ZSWIM8,NFATC3,RAB11FIP3,DMXL2
MSL2,MORN3,WWC3,PLEKHA5,RCAN1,KIF19,ASRGL1,CYP4B1,ZNF331
MIR222HG,KLHL31,LINC01145,FZD3,MALAT1,HIP1R,RABGAP1,SV2B,ZFYVE28
GLMN,AC009126.1,UBXN7,TRAIP,BHLHE40,MICAL3,SGSM2,FLRT2,UGT2A3
HEXIM1,LTB4R,AHSA2P,ZNF252P,CACNB3,MTA1,PTDSS2,ZNF33A,TENT5C
ATP2B4,TBC1D9,ZNF888,MTA1,LINC00205,ZDHHC11,TMEM71,SLC12A2,ZCCHC2
CUL2,EFHC2,STAG3L2,UPF1,KREMEN1,SHANK2,LSM14B,PPP6C,MMP12
HEXD,AL355355.1,AC010336.8,FBXL18,RNF150,AC104170.1,NIBAN1,ACSL3,MED23
ZNF346,AC092666.1,LRRC23,CCDC150,KIAA1217,AURKA,TBC1D2B,FGF12,MPHOSPH9
NARF,COL5A3,AC239799.2,CCDC33,CAB39L,CFAP69,AC012368.1,FAM189A2,RAB12
PLA2G6,AC007613.1,IRS3P,PLAUR,PLA2G4C,FAM131A,DGKG,FGF2,DGKA
FAM160B2,PDE3B,ZNF175,BHLHE40,ABCC9,OTUD3,SPATA2L,HSPB8,KLHL7
AC084026.2,CDH2,POLK,LIPT2,PTP4A3,EREG,MTMR3,CACNA1C,AP000873.2
PRKCA,MSL2,LINC01320,CYP2R1,ERBB2,CYP2R1,TLE3,KIAA1109,UBR3
VPS53,MCTP2,RPF1,ASB7,SLC12A8,CCNB2,LINC00173,AL365295.1,TRAF1
H2BC8,CNKSR3,RABGAP1,USP45,MCC,PLA2G6,AMY2B,TSC22D1,SH2D2A
PLEKHM1P1,PHGDH,GLMN,WDR31,PRRC2B,NT5DC3,MFSD4B,ANKRD20A5P,MCM7
OTUD7B,NRXN3,ZBTB37,IQSEC2,CDH13,FAM98C,ZNF252P,MX1,ZNF680
CBX4,TRAIP,AL133245.1,SYP,HAS1,RAB11FIP3,INPP4A,ATE1,ATP1B1
ZNF678,AL355073.1,ETFBKMT,TNFAIP1,WWC2,RAB3IP,U2AF1,AEBP2,OASL
TENT5C,TTC22,H2BC15,NPRL3,COL27A1,DOCK6,CPEB3,IQSEC2,NEDD4L
AC012368.1,AL022068.1,AC087651.1,MID1IP1,ACTB,GTF3C1,CD37,GKAP1,ZC3HAV1
MORC2,SAP30L-AS1,AC093157.1,DHX35,XYLT2,RALGAPB,UPF1,RPS12,FUCA1
MTR,SPINK4,AC007613.1,PGAP1,PTPN13,TMEM161B-AS1,STS,GTF3C1,KDM3A
NRDE2,MMUT,RABL2A,CENPO,TOB1,TENT4A,SCML1,TAZ,RPS6KA3
LINC00662,WNT10B,NAA40,RBFOX2,NPY1R,CSAD,CASP10,MNAT1,RALGDS
TTC22,DDHD2,AC093827.1,ABCA8,IFT81,ATXN2,POLK,AHSA2P,ANO10
AGTPBP1,MUC20-OT1,ZNF652,EVI5,PPP1R12B,TRIM66,NLRX1,TUBGCP3,VPS54
AC073475.1,MTMR3,TCEANC,METAP1D,ARHGEF26,ANKS1A,MNT,PROX1,BASP1
ZSWIM8,MRVI1,ATXN7,PAIP2B,COL5A3,KIF11,ZNF558,KLHL7,MTMR4
LETM1,PTPN13,AC096733.2,FHDC1,DLL1,ZNF823,FER,BCORL1,CCNH
FOSL2,ARRDC5,MTFMT,MPP3,SETD5,EPHA4,PFKFB2,CPSF1,COL16A1
CLIP4,PDE4D,LINC01422,HACL1,RNF217,ZGRF1,DTWD2,FOXJ2,TXN
RTTN,AFG1L,AL683813.1,KCTD21-AS1,SYNPO,DTWD2,PRRC2A,PCDH19,CDHR2
AC105749.1,HEXIM1,TTC26,TRIM36,CAVIN2,USP40,UBE2Q2P1,RNF217,GLCCI1
SAT1,AC008629.1,NRF1,TRIO,COMP,MCM7,RFX2,LPL,ATP23
SMG1,ETFBKMT,SYNE1,CHRNA7,BMP5,ABHD18,PIK3CD,UBE2Q2P1,KDR
AC093157.1,FAM83F,MMP7,RAB26,MEF2D,AHSA2P,KLHL15,METTL4,LAIR2
ADRB2,GRASP,AL021155.2,ATE1,HSPG2,ACACB,CRTAM,PITPNM2,CTSC
SAP30L-AS1,CCL18,AC098934.2,PCSK5,IQSEC1,SCML1,MAPK8IP3,MBNL1,TOB1
LINC02156,TSPAN9,SEC22B,AC005041.5,ATRX,DDX52,CCSER1,CPD,HIPK1-AS1
UBXN7,NXN,NBN,AC009951.3,ADCY9,HEATR5B,PPP3CA,CAMTA2,TBC1D2B
ZDHHC18,MPHOSPH9,CLIP4,HMSD,RUFY2,DHX35,ADRB2,KDM3A,C16orf58
F2R,ST6GALNAC2,MAP3K9,TTC26,LDB3,FAM200B,BLOC1S2,PARD6G,AL356599.1
NLRP3,ST6GALNAC5,LMOD3,NT5DC3,RAB11FIP2,NBAS,CAMTA2,SMURF1,XIST
CCL23,XIST,ESCO1,TUBGCP3,PPP1R12C,CDKN3,KAT2B,C1orf198,VPS53
FAM118A,ERP44,LRRC69,PEAK1,DYNC2H1,CRIM1,GCNT2,SNCA,ITGB3BP
TCEANC,ZFP82,UNC13D,ABI3BP,TPBG,CABLES1,WDFY2,YPEL2,OVCH1-AS1
ZNF518A,ACOX2,FTCDNL1,MCTP2,VPS13D,TRIO,CAMKK1,PLXNB2,CASP2
ZNF583,UGT2B17,SLC25A37,ZNF888,FOXRED2,ERAP1,AC124319.1,P3H2,PDHX
EPG5,CAMSAP2,PCDH9,AC092184.1,NEK11,SLC25A53,LINC02256,COL27A1,MUC20-OT1
ARID1B,NMU,RAB11FIP2,FSIP1,SNHG14,NPY1R,LINC02577,YTHDF3,LINC00299
LEF1-AS1,MIGA2,TENT4A,SH2D6,SORBS1,AQP7,SGTB,AC091271.1,TECPR1
IRS3P,CADM2,RAB3IP,GRB10,NIBAN1,AC087651.1,CUX2,RRAGB,CPQ
CYB561D1,ERVK13-1,RNF19A,FAM186A,DYNC1I1,NF1,DHX35,FAR1,NPLOC4
ERAP1,CEP97,AL132780.1,BRPF1,MASP1,ADGRG6,CCDC88B,EHMT1,LINC02256
RANBP2,ADRB2,AC084026.2,TTC39B,DLG2,MTMR3,LINC02328,DDX52,CHP1
DLEU2,OTUD3,SAP30L-AS1,RNFT2,RFX2,EFHC2,KDM3A,EVI5,ACSL3
ZNF566,CASS4,ZNF331,AC243562.2,ANO1,ZCCHC2,SS18L1,FRMD6,DDX52
TRIM71,PLEKHM1P1,PAXIP1,ANKRD33B,SEMA6D,ASAH1,ATM,FYTTD1,PIK3R1
MSH2,B3GNTL1,MIP,GLDN,TSPAN11,RALGDS,FYTTD1,ZNF346,CASP9
PIGG,ATP8B2,GBA3,RNF123,NF1,SS18L1,AC007566.1,TMEM67,WBP4
ZDBF2,AL356599.1,AEBP2,LRRC69,HEPH,CENPF,THADA,IL4R,SERTAD1
BRPF1,RAB11FIP2,AC138409.2,MARCKS,MLXIP,USP45,HDAC6,CP,TNFAIP1
RPUSD2,PRND,RUNX3,SLC25A53,RFTN1,SPATA2L,SLC25A37,ELP4,NFKBID
LINC02660,NLN,TTC33,PAXIP1,JPH2,BCORL1,PON2,BRAF,FBF1
PARP15,SLC22A5,HIF1AN,AL022068.1,ANKDD1A,ZUP1,PIP4K2B,CUL4A,SETD5
ARID2,PLEKHA7,PCGF1,ZNF169,COL4A5,NIPAL3,PPP1R12C,PCBP1-AS1,HEXIM1
PLAC8,WNT5B,NDUFA6-DT,GRAMD4,EXOC7,NAALADL2,FAM118A,CDKN1A,ZNF831
ADAM19,U2AF1,WDR91,WHRN,POGZ,GSN,MIA3,PRKCE,SUPT7L
DDHD2,TUBGCP6,BAP1,UGT8,GABBR1,DBT,ABHD18,OGA,STAG3L2
EPS15,BRPF1,ZDBF2,KIF5A,CLIP4,TFAP2A,ARID1B,TMEM135,USP45
BAP1,WDFY2,ABHD18,ANO10,ANO10,IRAK1,SLC26A11,PTDSS2,LINC00662
FOXJ3,SMG1,XRRA1,AC007613.1,COLGALT2,MEF2D,NRIR,TNFRSF1B,LYAR
ACSS1,AC132872.5,B4GALT1,FTCDNL1,PTDSS2,SYP,SUGP2,ASB7,FAR1
BRAF,ITGB8,RAB12,ARHGEF38,ACE,PLAAT2,DMD,NPLOC4,LTBP3
CGA,C1QTNF2,MTR,AP3B1,JADE1,LRP1,EPHA1-AS1,U2AF1,GEM
SLC25A53,PCDH7,NARF,H2AC11,FAM126A,PRUNE2,ZNF385C,USP40,TNFAIP6
