0,1,2,3,4,5,6,7,8
MYO1G,C3orf62,HMGB2,BLVRB,FGFR1,IGFBP2,GPNMB,NOTCH4,EXD3
IL10RA,ALOX12B,HMCES,GPM6B,EPHX1,KLF4,DOK2,PON2,MID1IP1
CCNH,AC073225.1,RFTN1,COL9A3,SLIT2,ASS1,PLTP,SYNPO,UNC13D
TRGC2,CXXC4,CASP2,STMN1,SFRP2,RAB25,F13A1,FSCN1,C3AR1
PIM2,LDB3,GABPB1-AS1,HNF4A,FBN1,MIDN,MGST2,NDRG1,SLC2A6
ICOS,BMPER,NUP210,MYC,CRISPLD2,HNF4A,HAVCR2,GRN,SLAMF1
SYTL3,RDH8,MYO1G,CCNB1,FBLN2,SPINK5,ABI3,TNS2,ATXN1
NR3C1,ANKRD20A5P,ITPR1,AZGP1,MEIS1,MGST2,S100A9,TSPAN4,PROM1
ZC3HAV1,SPOCD1,FCMR,CD320,SERPINE2,CHP1,MYO1F,CD320,AC091271.1
TBC1D4,LINC01422,AC004151.1,KRT20,RHOB,SLC26A3,TSPAN4,ADGRF5,TINAGL1
RGPD1,COLGALT2,UPF2,ANXA3,PDGFRA,TCEA3,HLA-B,RBP7,AC002070.1
GBP2,TRPM3,OGA,PPP1R16A,LAMA4,ANXA2,RAB20,TMSB4X,ARL4A
WNK1,BMX,SUGCT,SEMA3B,PLTP,CKMT1A,MRC1,HTRA1,RPS13
P2RY10,AC084879.1,MX1,GMDS,SGCE,NR4A1,SOD2,RBPMS,PSTPIP2
GABPB1-AS1,PGAM1P8,SNHG12,ITGB4,CAV1,OLFM4,NFKBIA,COL18A1,OSBPL6
AKNA,Z84485.1,SLC15A4,MUC13,ELN,FCGBP,IL4I1,SELENON,NFKBIZ
LBH,PRDM15,LBH,CDKN3,PALLD,TDP2,FRMD4B,CDA,TANC1
RASAL3,AC243562.2,STMN1,MCM7,CLU,GCNT3,A2M,PSAP,MECOM
SAMD3,LINC01572,OFD1,CCL20,COL12A1,HEPH,SMCO4,PLPP3,SKIL
RUNX3,HIF1AN,CKS2,GFRA3,FBLN5,MS4A12,AXL,LAMA4,CR1
CFLAR,IL18RAP,AURKB,ITPK1,CTSL,AC103702.2,TNFAIP2,RGS3,PPP3CA
TNFRSF1B,ZBTB10,BIK,NRXN1,AKAP12,DHCR24,PLA2G7,FAM107A,ASRGL1
LINC01943,CCDC157,TK1,CNN3,CRYAB,SNORC,GATM,RGCC,TTC39B
CLEC2B,ZNF385C,MYC,CAB39L,QSOX1,SLC4A4,SLC1A3,KDR,RGS3
CAMK4,COL27A1,NR4A2,PMEPA1,PDGFRB,PLAC8,GSN,CMIP,CSF1
SLAMF1,GPR39,SLC2A6,PPP1R14D,PDLIM7,GMDS,MARCHF1,ITGB4,HAVCR2
KLRG1,ACOXL,NFKBID,SLC44A4,CERCAM,FUCA1,FUCA1,GJA1,SLC2A3
CXCL13,NRIR,PPP3CA,SCN7A,TMEM176B,MLXIP,IL10RA,DOCK6,CELF2
PIM1,PLA2R1,LPIN1,TSPAN1,ADAMTS1,SLC12A2,KLF4,PTP4A3,ZBTB32
LYAR,AC104806.2,IKZF1,MATN2,ACTA2,AVPI1,MAP3K8,SGK1,PLAGL1
ARHGAP15,TTC26,CR1,CDA,LOXL1,PON2,TNFRSF1B,ITM2A,ANKRA2
MYO1F,MIP,P2RY10,PDGFA,AC080038.1,NPDC1,CLEC4E,NOSTRIN,FSCN1
RASGRP1,ZNF445,ATF7IP,CDC20,MFAP5,FTH1,FBP1,STMN1,GFRA3
DUSP4,TBX6,ABI3,PLAAT3,PROCR,CDKN2B-AS1,IFI6,ABI3,MATK
RIPOR2,LRRC74B,MICAL3,EREG,TCF4,PKIB,LRP1,CRIM1,TTLL7
LINC00892,FAM186A,MIR155HG,ALDH1A1,EPB41L2,ITGB4,PKIB,APOLD1,TSC22D1
CELF2,C12orf77,ATP2A3,CST3,PTN,QSOX1,PTGS1,PPFIBP1,PLAUR
ATXN7,RRP1,MCOLN2,GLB1L2,DKK3,SLC26A2,CFD,KCTD12,CTSB
RNF19A,RAD18,BACH2,RND3,IGFBP5,CA4,SDS,CXCL12,LINC00996
ITGAL,WHRN,TYMS,DHCR24,PLAT,PPP1R16A,PRCP,NOL4L,SNORD3B-2
CD5,AC008592.3,CCDC18-AS1,NDRG2,SPRY1,CEACAM7,MMP12,WARS1,NTM
PIK3R1,WDR91,ATRX,ERBB2,SMOC2,GSKIP,MMP14,KLF4,IL4R
CREM,AC096733.2,ATM,STAP2,A2M,AKR1B10,MAN1A1,INSR,RASGEF1B
CASP8,AL355075.4,CCR7,TOP2A,RBPMS,UGT2A3,ENPP2,PCDH17,AL390957.1
CLDND1,LINC02541,MAP3K7CL,CDC42EP1,COL18A1,ATP2A3,BCL2A1,EPHX1,CCDC18-AS1
STAT4,WDR31,CENPU,RPS13,SLIT3,RARRES1,CLEC2B,UTRN,ACTB
ADGRE5,CHSY3,ADAM19,CDHR5,FLNA,FOXA3,MARCO,MECOM,PRNP
FOXP3,CCDC144CP,CD55,LGALS2,ITIH5,NEDD4L,RHOB,FLNA,CD22
LINC02273,GDA,CCNB2,IGFBP2,GRN,TFCP2L1,TIMP2,MAP4,ALDH1A1
TNIP3,PAIP2B,TRA2A,SLC12A2,CPE,GDF15,DMXL2,NFIA,ZNF521
IL2RA,XYLT1,SERPINB9,BMS1P10,NEXN,SPINK4,SELENOP,TUBA1A,DIPK2A
FKBP5,BTBD9,AC012368.1,ISG15,LIMA1,ERBB2,RPL10,CSRP2,SUSD1
DGKA,HS3ST2,MCM7,IL17RE,C7,PLXNB2,SMIM25,LAMB1,ARHGAP15
RORA,AC083862.3,GCNT2,CTNNAL1,CHRDL1,C2orf88,CD83,LIMA1,CCDC82
CD8B,PTCH2,ERICH1,ANXA2,ABI3BP,SPDEF,IQGAP2,ADAMTS1,FOSL2
FAM102A,LINC01521,MXD3,AURKA,CSRP1,ITLN1,CD1E,MAP1B,RPS25
CMC1,AL034427.1,CCDC144B,FOXA3,AXL,ARL14,C2,CNRIP1,LINC00520
AC025164.1,AC098934.2,ARID1B,FSTL3,SCARA5,EHF,PMP22,DLC1,MIR222HG
PLAAT2,HHAT,RASGEF1B,SYT13,ALDH1A1,MYO15B,LILRA5,CTNNAL1,SERP2
MAL,OSGEPL1-AS1,COCH,PRIMA1,MMP14,TOB1,PFKFB3,HECW2,BCL2A1
LAIR2,H2AC11,AP000442.1,ANK3,PDGFRL,SMPDL3A,NRP2,GRB10,PIM1
CNOT6L,PRUNE2,CYTIP,IQGAP3,COL4A2,CDKN1A,CDKN1A,LIMCH1,ELL2
GLCCI1,C8orf31,AKNA,CHL1,MIR100HG,CDHR2,NLRP3,PXDN,MSRB3
ICA1,PRDM5,SLC2A3,TK1,APOD,HEPACAM2,NR4A2,NUCB2,NFATC3
THEMIS,AC007906.2,TNRC6B,AC010624.5,EMP1,SMIM31,AVPI1,NPR1,CRIPT
EOMES,GOLGA2P5,CDKN3,EVPL,EGR1,CFDP1,SLC8A1,MIR4435-2HG,FSIP1
SCML4,AL157935.1,ITGB3BP,TPD52,PCOLCE2,CDA,EGR1,CTSL,NDRG2
HMGB2,AC108471.2,PARP15,SEMA3C,DST,PIGZ,PLXNB2,ABLIM1,RPS20
